Name,title,Category,Tags,ipath,1.csv
2D-Aeroplane-Vanilla-Cake1.md,2D-Aeroplane-Vanilla-Cake1,Celebration Cakes,"""Vanilla"", ""one tier"",""round""",img/portfolio/2D-Aeroplane-Vanilla-Cake1.jpg,2D-Aeroplane-Vanilla-Cake1.jpg
2D-Aeroplane-Vanilla-Cake2.md,2D-Aeroplane-Vanilla-Cake2,Celebration Cakes,"""Vanilla"", ""one tier"",""round""",img/portfolio/2D-Aeroplane-Vanilla-Cake2.jpg,2D-Aeroplane-Vanilla-Cake2.jpg
2D-aeroplane-vanilla-cake.md,2D-aeroplane-vanilla-cake,Celebration Cakes,"""Vanilla"", ""one tier"",""round""",img/portfolio/2D-aeroplane-vanilla-cake.jpg,2D-aeroplane-vanilla-cake.jpg
2-Tier-Animal-Fondant-cake.md,2-Tier-Animal-Fondant-cake,Celebration Cakes,"""Vanilla"", ""two tier"",""round"",""fondant""",img/portfolio/2-Tier-Animal-Fondant-cake.jpg,2-Tier-Animal-Fondant-cake.jpg
2-Tier-Barbie-Doll-Vanilla-Cake1.md,2-Tier-Barbie-Doll-Vanilla-Cake1,Celebration Cakes,"""Vanilla"", ""two tier"",""round""",img/portfolio/2-Tier-Barbie-Doll-Vanilla-Cake1.jpg,2-Tier-Barbie-Doll-Vanilla-Cake1.jpg
2-Tier-Barbie-Doll-Vanilla-Cake2.md,2-Tier-Barbie-Doll-Vanilla-Cake2,Celebration Cakes,"""Vanilla"", ""two tier"",""round"",""fondant""",img/portfolio/2-Tier-Barbie-Doll-Vanilla-Cake2.jpg,2-Tier-Barbie-Doll-Vanilla-Cake2.jpg
2-Tier-Barbie-Doll-Vanilla-Cake3.md,2-Tier-Barbie-Doll-Vanilla-Cake3,Celebration Cakes,"""Vanilla"", ""two tier"",""round""",img/portfolio/2-Tier-Barbie-Doll-Vanilla-Cake3.jpg,2-Tier-Barbie-Doll-Vanilla-Cake3.jpg
2-Tier-Chocolate-Cake.md,2-Tier-Chocolate-Cake,Celebration Cakes,"""Chocolate"",""two tier""",img/portfolio/2-Tier-Chocolate-Cake.jpg,2-Tier-Chocolate-Cake.jpg
2-Tier-Chocolate-Delightful-Truffle-Cake.md,2-Tier-Chocolate-Delightful-Truffle-Cake,Celebration Cakes,"""Chocolate"",""two tier""",img/portfolio/2-Tier-Chocolate-Delightful-Truffle-Cake.jpg,2-Tier-Chocolate-Delightful-Truffle-Cake.jpg
2-Tier-Dark-Chocolate-Cake.md,2-Tier-Dark-Chocolate-Cake,Celebration Cakes,"""Chocolate"",""two tier""",img/portfolio/2-Tier-Dark-Chocolate-Cake.jpg,2-Tier-Dark-Chocolate-Cake.jpg
